dataset,filename,status,num_columns,columns
yellow,yellow_tripdata_2025-02.parquet,OK,20,"VendorID:int32, tpep_pickup_datetime:timestamp[us], tpep_dropoff_datetime:timestamp[us], passenger_count:int64, trip_distance:double, RatecodeID:int64, store_and_fwd_flag:large_string, PULocationID:int32, DOLocationID:int32, payment_type:int64, fare_amount:double, extra:double, mta_tax:double, tip_amount:double, tolls_amount:double, improvement_surcharge:double, total_amount:double, congestion_surcharge:double, Airport_fee:double, cbd_congestion_fee:double"
green,green_tripdata_2025-02.parquet,OK,21,"VendorID:int32, lpep_pickup_datetime:timestamp[us], lpep_dropoff_datetime:timestamp[us], store_and_fwd_flag:large_string, RatecodeID:int64, PULocationID:int32, DOLocationID:int32, passenger_count:int64, trip_distance:double, fare_amount:double, extra:double, mta_tax:double, tip_amount:double, tolls_amount:double, ehail_fee:double, improvement_surcharge:double, total_amount:double, payment_type:int64, trip_type:int64, congestion_surcharge:double, cbd_congestion_fee:double"
fhv,fhv_tripdata_2025-02.parquet,OK,7,"dispatching_base_num:large_string, pickup_datetime:timestamp[us], dropOff_datetime:timestamp[us], PUlocationID:int64, DOlocationID:int64, SR_Flag:int64, Affiliated_base_number:large_string"
fhvhv,fhvhv_tripdata_2025-02.parquet,OK,25,"hvfhs_license_num:large_string, dispatching_base_num:large_string, originating_base_num:large_string, request_datetime:timestamp[us], on_scene_datetime:timestamp[us], pickup_datetime:timestamp[us], dropoff_datetime:timestamp[us], PULocationID:int32, DOLocationID:int32, trip_miles:double, trip_time:int64, base_passenger_fare:double, tolls:double, bcf:double, sales_tax:double, congestion_surcharge:double, airport_fee:double, tips:double, driver_pay:double, shared_request_flag:large_string, shared_match_flag:large_string, access_a_ride_flag:large_string, wav_request_flag:large_string, wav_match_flag:large_string, cbd_congestion_fee:double"
yellow,yellow_tripdata_2025-03.parquet,OK,20,"VendorID:int32, tpep_pickup_datetime:timestamp[us], tpep_dropoff_datetime:timestamp[us], passenger_count:int64, trip_distance:double, RatecodeID:int64, store_and_fwd_flag:large_string, PULocationID:int32, DOLocationID:int32, payment_type:int64, fare_amount:double, extra:double, mta_tax:double, tip_amount:double, tolls_amount:double, improvement_surcharge:double, total_amount:double, congestion_surcharge:double, Airport_fee:double, cbd_congestion_fee:double"
green,green_tripdata_2025-03.parquet,OK,21,"VendorID:int32, lpep_pickup_datetime:timestamp[us], lpep_dropoff_datetime:timestamp[us], store_and_fwd_flag:large_string, RatecodeID:int64, PULocationID:int32, DOLocationID:int32, passenger_count:int64, trip_distance:double, fare_amount:double, extra:double, mta_tax:double, tip_amount:double, tolls_amount:double, ehail_fee:double, improvement_surcharge:double, total_amount:double, payment_type:int64, trip_type:int64, congestion_surcharge:double, cbd_congestion_fee:double"
fhv,fhv_tripdata_2025-03.parquet,OK,7,"dispatching_base_num:large_string, pickup_datetime:timestamp[us], dropOff_datetime:timestamp[us], PUlocationID:int64, DOlocationID:int64, SR_Flag:int64, Affiliated_base_number:large_string"
fhvhv,fhvhv_tripdata_2025-03.parquet,OK,25,"hvfhs_license_num:large_string, dispatching_base_num:large_string, originating_base_num:large_string, request_datetime:timestamp[us], on_scene_datetime:timestamp[us], pickup_datetime:timestamp[us], dropoff_datetime:timestamp[us], PULocationID:int32, DOLocationID:int32, trip_miles:double, trip_time:int64, base_passenger_fare:double, tolls:double, bcf:double, sales_tax:double, congestion_surcharge:double, airport_fee:double, tips:double, driver_pay:double, shared_request_flag:large_string, shared_match_flag:large_string, access_a_ride_flag:large_string, wav_request_flag:large_string, wav_match_flag:large_string, cbd_congestion_fee:double"
yellow,yellow_tripdata_2025-04.parquet,OK,20,"VendorID:int32, tpep_pickup_datetime:timestamp[us], tpep_dropoff_datetime:timestamp[us], passenger_count:int64, trip_distance:double, RatecodeID:int64, store_and_fwd_flag:large_string, PULocationID:int32, DOLocationID:int32, payment_type:int64, fare_amount:double, extra:double, mta_tax:double, tip_amount:double, tolls_amount:double, improvement_surcharge:double, total_amount:double, congestion_surcharge:double, Airport_fee:double, cbd_congestion_fee:double"
green,green_tripdata_2025-04.parquet,OK,21,"VendorID:int32, lpep_pickup_datetime:timestamp[us], lpep_dropoff_datetime:timestamp[us], store_and_fwd_flag:large_string, RatecodeID:int64, PULocationID:int32, DOLocationID:int32, passenger_count:int64, trip_distance:double, fare_amount:double, extra:double, mta_tax:double, tip_amount:double, tolls_amount:double, ehail_fee:double, improvement_surcharge:double, total_amount:double, payment_type:int64, trip_type:int64, congestion_surcharge:double, cbd_congestion_fee:double"
