,date,hour,total_trip_count,fhv_trip_count,fhvhv_trip_count,green_trip_count,yellow_trip_count,big_venue_event_count,street_closure_event_count,subway_disruption_count,arriving_flights_count,departing_flights_pickup_proxy_count,temperature_c,precipitation_mm,snowfall_cm,windspeed_kmh,month,year,day_of_week,is_weekend,is_holiday
0,2017-12-15,13,42278,23556.0,0.0,1365.0,17357.0,0,0,0,0,0,-2.5,0.0,0.0,5.5,12,2017,4,0,0
1,2017-12-17,1,53215,34702.0,0.0,1709.0,16804.0,0,0,0,0,0,-0.6,0.0,0.0,9.0,12,2017,6,1,0
2,2017-12-23,13,43269,26208.0,0.0,1483.0,15578.0,516,0,0,0,0,8.9,2.5,0.0,11.3,12,2017,5,1,0
3,2017-12-29,11,38426,22865.0,0.0,1263.0,14298.0,0,256,0,0,0,-8.3,0.0,0.0,9.4,12,2017,4,0,0
4,2015-01-09,17,32346,5027.0,0.0,3282.0,24037.0,0,0,0,0,0,-0.7,0.0,0.0,16.2,1,2015,4,0,0
5,2015-01-17,5,6007,1076.0,0.0,822.0,4109.0,0,0,0,0,0,-7.9,0.0,0.0,11.2,1,2015,5,1,0
6,2015-01-21,5,5515,1017.0,0.0,337.0,4161.0,175,0,0,0,0,-4.9,0.0,0.0,8.1,1,2015,2,0,0
7,2015-01-22,20,37288,5115.0,0.0,3094.0,29079.0,0,0,0,0,0,-0.5,0.0,0.0,10.6,1,2015,3,0,0
8,2015-01-25,5,6021,970.0,0.0,976.0,4075.0,0,0,0,0,0,-2.6,0.0,0.0,15.5,1,2015,6,1,0
9,2015-01-28,2,2909,423.0,0.0,309.0,2177.0,0,0,0,0,0,-9.2,0.0,0.0,16.3,1,2015,2,0,0
10,2015-02-02,12,22637,3271.0,0.0,2129.0,17237.0,0,0,0,0,0,1.1,0.4,0.0,17.5,2,2015,0,0,0
11,2015-03-04,13,25004,2718.0,0.0,2122.0,20164.0,0,0,0,0,0,4.1,0.0,0.0,6.5,3,2015,2,0,0
12,2015-03-10,10,25387,2839.0,0.0,2134.0,20414.0,0,0,0,0,0,4.6,0.0,0.0,3.3999999999999995,3,2015,1,0,0
13,2015-03-16,13,22364,2489.0,0.0,1909.0,17966.0,0,434,0,0,0,6.599999999999999,0.0,0.0,6.5,3,2015,0,0,0
14,2015-03-23,13,23108,2613.0,0.0,1825.0,18670.0,0,0,0,0,0,1.0,0.0,0.0,18.7,3,2015,0,0,0
15,2015-04-07,8,30746,5105.0,0.0,2357.0,23284.0,454,681,0,0,0,10.5,0.3,0.0,0.6999999999999998,4,2015,1,0,0
16,2015-04-15,10,25387,3380.0,0.0,2128.0,19879.0,224,0,0,0,0,12.7,0.0,0.0,15.5,4,2015,2,0,0
17,2015-04-16,7,27808,4344.0,0.0,1936.0,21528.0,0,452,0,0,0,5.4,0.0,0.0,7.4,4,2015,3,0,0
18,2015-04-17,17,30283,5729.0,0.0,3533.0,21021.0,0,0,0,0,0,19.5,0.0,0.0,10.1,4,2015,4,0,0
19,2015-04-24,11,28116,4087.0,0.0,2116.0,21913.0,0,219,0,0,0,5.9,0.0,0.0,23.7,4,2015,4,0,0
20,2015-04-29,18,34569,6333.0,0.0,3309.0,24927.0,0,0,0,0,0,20.8,0.0,0.0,3.1,4,2015,2,0,0
21,2015-05-02,16,32083,6394.0,0.0,3851.0,21838.0,0,236,0,0,0,16.8,0.0,0.0,12.2,5,2015,5,1,0
22,2015-05-05,11,25686,3519.0,0.0,1934.0,20233.0,0,229,0,0,0,23.0,0.0,0.0,6.9,5,2015,1,0,0
23,2015-05-06,0,20299,3212.0,0.0,1968.0,15119.0,0,216,0,0,0,18.1,0.0,0.0,7.6,5,2015,2,0,0
24,2015-05-12,6,14963,2413.0,0.0,774.0,11776.0,0,0,0,0,0,18.8,0.0,0.0,1.9,5,2015,1,0,0
25,2015-05-12,18,36908,6956.0,0.0,3205.0,26747.0,0,0,0,0,0,27.9,0.0,0.0,15.7,5,2015,1,0,0
26,2015-06-07,10,22074,3406.0,0.0,1733.0,16935.0,230,2300,0,0,0,17.9,0.0,0.0,3.1,6,2015,6,1,0
27,2015-06-07,16,26541,4928.0,0.0,3052.0,18561.0,458,458,0,0,0,20.6,0.0,0.0,17.4,6,2015,6,1,0
28,2015-06-08,9,27591,5219.0,0.0,2448.0,19924.0,228,456,0,0,0,18.8,0.0,0.0,12.2,6,2015,0,0,0
29,2015-06-10,8,31100,5650.0,0.0,2575.0,22875.0,904,678,0,0,0,19.5,0.0,0.0,2.3,6,2015,2,0,0
30,2015-06-10,20,35278,6322.0,0.0,2805.0,26151.0,0,0,0,0,0,23.1,0.0,0.0,9.5,6,2015,2,0,0
31,2015-06-10,21,37524,6723.0,0.0,2947.0,27854.0,0,0,0,0,0,21.8,0.0,0.0,11.7,6,2015,2,0,0
32,2015-06-11,10,27146,4428.0,0.0,2132.0,20586.0,226,226,0,0,0,25.2,0.0,0.0,12.9,6,2015,3,0,0
33,2015-06-15,18,33688,7010.0,0.0,3004.0,23674.0,0,0,0,0,0,23.4,0.7,0.0,11.9,6,2015,0,0,0
34,2015-06-15,21,29946,5362.0,0.0,2249.0,22335.0,0,0,0,0,0,20.5,0.0,0.0,12.0,6,2015,0,0,0
35,2015-06-16,16,23688,5128.0,0.0,2441.0,16119.0,0,0,0,0,0,25.4,0.6,0.0,6.7,6,2015,1,0,0
36,2015-06-17,17,29710,6737.0,0.0,3166.0,19807.0,226,678,0,0,0,21.4,0.0,0.0,14.0,6,2015,2,0,0
37,2015-06-18,12,26679,4254.0,0.0,2032.0,20393.0,230,230,0,0,0,19.0,0.0,0.0,8.1,6,2015,3,0,0
38,2015-06-22,7,22904,4375.0,0.0,1641.0,16888.0,0,227,0,0,0,20.5,0.0,0.0,10.1,6,2015,0,0,0
39,2015-06-28,11,24275,4411.0,0.0,2116.0,17748.0,232,1624,0,0,0,20.0,0.0,0.0,9.6,6,2015,6,1,0
40,2015-06-29,19,30479,5492.0,0.0,2599.0,22388.0,663,0,0,0,0,22.5,0.0,0.0,7.1,6,2015,0,0,0
41,2015-06-30,9,27792,5219.0,0.0,2287.0,20286.0,222,0,0,0,0,22.399999999999995,0.0,0.0,5.400000000000001,6,2015,1,0,0
42,2015-07-01,9,28692,5828.0,0.0,2424.0,20440.0,225,450,0,0,0,21.6,1.6,0.0,10.8,7,2015,2,0,0
43,2015-07-03,17,23215,4029.0,0.0,3053.0,16133.0,0,0,0,0,0,26.0,0.0,0.0,2.6,7,2015,4,0,1
44,2015-07-05,8,7199,1363.0,0.0,681.0,5155.0,1260,1260,0,0,0,21.2,0.0,0.0,3.8,7,2015,6,1,0
45,2015-07-05,13,19778,3699.0,0.0,1910.0,14169.0,0,0,0,0,0,26.8,0.0,0.0,5.1,7,2015,6,1,0
46,2015-07-06,11,19367,3187.0,0.0,1723.0,14457.0,0,0,0,0,0,24.5,0.0,0.0,8.7,7,2015,0,0,0
47,2015-07-10,16,24665,5987.0,0.0,3031.0,15647.0,228,0,0,0,0,27.7,0.0,0.0,10.6,7,2015,4,0,0
48,2015-07-12,11,23930,4790.0,0.0,1883.0,17257.0,0,2486,0,0,0,27.9,0.0,0.0,2.9,7,2015,6,1,0
49,2015-07-14,7,22781,4581.0,0.0,1353.0,16847.0,0,0,0,0,0,21.0,0.0,0.0,2.9,7,2015,1,0,0
50,2015-07-14,11,24137,4054.0,0.0,1754.0,18329.0,0,220,0,0,0,24.5,0.6,0.0,9.5,7,2015,1,0,0
51,2015-07-16,12,25687,4384.0,0.0,1967.0,19336.0,223,223,0,0,0,23.1,0.0,0.0,8.1,7,2015,3,0,0
52,2015-07-19,1,32327,7369.0,0.0,4047.0,20911.0,0,0,0,0,0,23.6,0.0,0.0,11.0,7,2015,6,1,0
53,2015-07-20,7,23507,4946.0,0.0,1526.0,17035.0,0,0,0,0,0,25.3,0.0,0.0,8.8,7,2015,0,0,0
54,2015-07-22,16,23501,6095.0,0.0,2458.0,14948.0,0,231,0,0,0,28.2,0.0,0.0,18.8,7,2015,2,0,0
