,month,operator,trip_count
0,2015-01-01,fhv,2720786
1,2015-02-01,fhv,3053183
2,2015-03-01,fhv,3245472
3,2015-04-01,fhv,3874538
4,2015-05-01,fhv,4232122
5,2015-06-01,fhv,4240561
6,2015-07-01,fhv,4384986
7,2015-08-01,fhv,5261388
8,2015-09-01,fhv,6582838
9,2015-10-01,fhv,8585373
10,2015-11-01,fhv,8318476
11,2015-12-01,fhv,8888809
12,2016-01-01,fhv,8510803
13,2016-02-01,fhv,9427825
14,2016-03-01,fhv,9613395
15,2016-04-01,fhv,10138188
16,2016-05-01,fhv,10739532
17,2016-06-01,fhv,10768623
18,2016-07-01,fhv,10977358
19,2016-08-01,fhv,11224963
20,2016-09-01,fhv,11759658
21,2016-10-01,fhv,12657985
22,2016-11-01,fhv,12436993
23,2016-12-01,fhv,13858760
24,2017-01-01,fhv,13657538
25,2017-02-01,fhv,13284960
26,2017-03-01,fhv,15703098
27,2017-04-01,fhv,14764943
28,2017-05-01,fhv,15397393
29,2017-06-01,fhv,15365121
30,2017-07-01,fhv,15672674
31,2017-08-01,fhv,15906264
32,2017-09-01,fhv,16621486
33,2017-10-01,fhv,17893057
34,2017-11-01,fhv,18053806
35,2017-12-01,fhv,19989217
36,2018-01-01,fhv,19808095
37,2018-02-01,fhv,19350693
38,2018-03-01,fhv,21985270
39,2018-04-01,fhv,21049621
40,2018-05-01,fhv,21565752
41,2018-06-01,fhv,21137951
42,2018-07-01,fhv,21599714
43,2018-08-01,fhv,22120592
44,2018-09-01,fhv,22151737
45,2018-10-01,fhv,23289767
46,2018-11-01,fhv,22911480
47,2018-12-01,fhv,23904082
48,2019-01-01,fhv,23159064
49,2019-02-01,fhv,1707650
50,2019-03-01,fhv,1475569
51,2019-04-01,fhv,1937850
52,2019-05-01,fhv,2073061
53,2019-06-01,fhv,2009900
54,2019-07-01,fhv,1947788
55,2019-08-01,fhv,1880335
56,2019-09-01,fhv,1248520
57,2019-10-01,fhv,1897856
58,2019-11-01,fhv,1879487
59,2019-12-01,fhv,2044196
60,2020-01-01,fhv,2028587
61,2020-02-01,fhv,1913495
62,2020-03-01,fhv,1441864
63,2020-04-01,fhv,566426
64,2020-05-01,fhv,774970
65,2020-06-01,fhv,1011867
66,2020-07-01,fhv,1127489
67,2020-08-01,fhv,1184036
68,2020-09-01,fhv,1271036
69,2020-10-01,fhv,1254734
70,2020-11-01,fhv,1206356
71,2020-12-01,fhv,1164605
72,2021-01-01,fhv,1154112
73,2021-02-01,fhv,1037692
74,2021-03-01,fhv,1302665
75,2021-04-01,fhv,1267018
76,2021-05-01,fhv,1263660
77,2021-06-01,fhv,1311346
78,2021-07-01,fhv,1240014
79,2021-08-01,fhv,1203018
80,2021-09-01,fhv,1179412
81,2021-10-01,fhv,1277393
82,2021-11-01,fhv,1228962
83,2021-12-01,fhv,1339973
84,2022-01-01,fhv,1143691
85,2022-02-01,fhv,1251504
86,2022-03-01,fhv,1380816
87,2022-04-01,fhv,1246669
88,2022-05-01,fhv,1255828
89,2022-06-01,fhv,1195414
90,2022-07-01,fhv,1159579
91,2022-08-01,fhv,1151155
92,2022-09-01,fhv,1160493
93,2022-10-01,fhv,1174988
94,2022-11-01,fhv,1106084
95,2022-12-01,fhv,1285443
96,2023-01-01,fhv,1114320
97,2023-02-01,fhv,1110797
98,2023-03-01,fhv,1328242
99,2023-04-01,fhv,1246479
100,2023-05-01,fhv,1385826
101,2023-06-01,fhv,1219445
102,2023-07-01,fhv,1370843
103,2023-08-01,fhv,1440352
104,2023-09-01,fhv,1293303
105,2023-10-01,fhv,1628438
106,2023-11-01,fhv,1343846
107,2023-12-01,fhv,1376748
108,2024-01-01,fhv,1290116
109,2024-02-01,fhv,1176093
110,2024-03-01,fhv,1469352
111,2024-04-01,fhv,1444626
112,2024-05-01,fhv,1352502
113,2024-06-01,fhv,1386539
114,2024-07-01,fhv,1382739
115,2024-08-01,fhv,1484471
116,2024-09-01,fhv,1718375
117,2024-10-01,fhv,1421231
118,2024-11-01,fhv,1591082
119,2024-12-01,fhv,1913200
120,2025-01-01,fhv,1711551
121,2025-02-01,fhv,1578722
122,2025-03-01,fhv,2182992
123,2025-04-01,fhv,1699478
124,2025-05-01,fhv,2210721
125,2025-06-01,fhv,2231731
126,2025-07-01,fhv,2187536
127,2025-08-01,fhv,2256854
128,2025-09-01,fhv,2149292
129,2025-10-01,fhv,2446615
130,2025-11-01,fhv,2278604
131,2025-12-01,fhv,1926891
132,2026-01-01,fhv,1941722
133,2026-02-01,fhv,4
