,month,operator,trip_count
0,2019-02-01,JUNO,979266
1,2019-02-01,LYFT,4690916
2,2019-02-01,UBER,13504994
3,2019-02-01,VIA,983926
4,2019-03-01,JUNO,835215
5,2019-03-01,LYFT,4699040
6,2019-03-01,UBER,17248340
7,2019-03-01,VIA,1082003
8,2019-04-01,JUNO,740532
9,2019-04-01,LYFT,4290694
10,2019-04-01,UBER,15657454
11,2019-04-01,VIA,1046142
12,2019-05-01,JUNO,742053
13,2019-05-01,LYFT,4681802
14,2019-05-01,UBER,15876126
15,2019-05-01,VIA,1029266
16,2019-06-01,JUNO,674839
17,2019-06-01,LYFT,4999262
18,2019-06-01,UBER,14397173
19,2019-06-01,VIA,930716
20,2019-07-01,JUNO,658012
21,2019-07-01,LYFT,4682351
22,2019-07-01,UBER,14043151
23,2019-07-01,VIA,919798
24,2019-08-01,JUNO,619663
25,2019-08-01,LYFT,4698486
26,2019-08-01,UBER,13926310
27,2019-08-01,VIA,881654
28,2019-09-01,JUNO,625981
29,2019-09-01,LYFT,4611514
30,2019-09-01,UBER,13964852
31,2019-09-01,VIA,866974
32,2019-10-01,JUNO,407494
33,2019-10-01,LYFT,5346315
34,2019-10-01,UBER,14509894
35,2019-10-01,VIA,898587
36,2019-11-01,JUNO,105879
37,2019-11-01,LYFT,5144737
38,2019-11-01,UBER,15611001
39,2019-11-01,VIA,773951
40,2019-12-01,LYFT,5430612
41,2019-12-01,UBER,16105724
42,2019-12-01,VIA,707565
43,2020-01-01,LYFT,5274248
44,2020-01-01,UBER,14582520
45,2020-01-01,VIA,712600
46,2020-02-01,LYFT,5339549
47,2020-02-01,UBER,15743610
48,2020-02-01,VIA,641941
49,2020-03-01,LYFT,3219541
50,2020-03-01,UBER,9836781
51,2020-03-01,VIA,336606
52,2020-04-01,LYFT,1144083
53,2020-04-01,UBER,3102835
54,2020-04-01,VIA,65991
55,2020-05-01,LYFT,1621495
56,2020-05-01,UBER,4359377
57,2020-05-01,VIA,109127
58,2020-06-01,LYFT,2310860
59,2020-06-01,UBER,5114308
60,2020-06-01,VIA,130025
61,2020-07-01,LYFT,2716099
62,2020-07-01,UBER,7081522
63,2020-07-01,VIA,160833
64,2020-08-01,LYFT,3072675
65,2020-08-01,UBER,7856499
66,2020-08-01,VIA,167678
67,2020-09-01,LYFT,3116906
68,2020-09-01,UBER,8847755
69,2020-09-01,VIA,142008
70,2020-10-01,LYFT,3323082
71,2020-10-01,UBER,9797775
72,2020-10-01,VIA,147554
73,2020-11-01,LYFT,3090686
74,2020-11-01,UBER,8375281
75,2020-11-01,VIA,130898
76,2020-12-01,LYFT,3023412
77,2020-12-01,UBER,8486416
78,2020-12-01,VIA,127295
79,2021-01-01,LYFT,3094325
80,2021-01-01,UBER,8704128
81,2021-01-01,VIA,110015
82,2021-02-01,LYFT,3237166
83,2021-02-01,UBER,8290758
84,2021-02-01,VIA,86018
85,2021-03-01,LYFT,3946703
86,2021-03-01,UBER,10173376
87,2021-03-01,VIA,107314
88,2021-04-01,LYFT,3768879
89,2021-04-01,UBER,10238382
90,2021-04-01,VIA,104110
91,2021-05-01,LYFT,3814434
92,2021-05-01,UBER,10808415
93,2021-05-01,VIA,96322
94,2021-06-01,LYFT,4130660
95,2021-06-01,UBER,10747390
96,2021-06-01,VIA,83842
97,2021-07-01,LYFT,4229852
98,2021-07-01,UBER,10704366
99,2021-07-01,VIA,92956
100,2021-08-01,LYFT,4209240
101,2021-08-01,UBER,10196747
102,2021-08-01,VIA,93709
103,2021-09-01,LYFT,4240481
104,2021-09-01,UBER,10557442
105,2021-09-01,VIA,88132
106,2021-10-01,LYFT,4429566
107,2021-10-01,UBER,12086389
108,2021-10-01,VIA,29401
109,2021-11-01,LYFT,4222042
110,2021-11-01,UBER,11819597
111,2021-12-01,LYFT,4252421
112,2021-12-01,UBER,11802074
113,2022-01-01,LYFT,3925255
114,2022-01-01,UBER,10826336
115,2022-02-01,LYFT,4578385
116,2022-02-01,UBER,11440898
117,2022-03-01,LYFT,5317280
118,2022-03-01,UBER,13136268
119,2022-04-01,LYFT,4741581
120,2022-04-01,UBER,13010980
121,2022-05-01,LYFT,4831901
122,2022-05-01,UBER,13325434
123,2022-06-01,LYFT,4730217
124,2022-06-01,UBER,13049858
125,2022-07-01,LYFT,4888906
126,2022-07-01,UBER,12575713
127,2022-08-01,LYFT,4684984
128,2022-08-01,UBER,12500703
129,2022-09-01,LYFT,4891236
130,2022-09-01,UBER,12902315
131,2022-10-01,LYFT,5203198
132,2022-10-01,UBER,14102892
133,2022-11-01,LYFT,5117891
134,2022-11-01,UBER,12968005
135,2022-12-01,LYFT,5657939
136,2022-12-01,UBER,14007908
137,2023-01-01,LYFT,4898879
138,2023-01-01,UBER,13580152
139,2023-02-01,LYFT,4680032
140,2023-02-01,UBER,13280939
141,2023-03-01,LYFT,5860171
142,2023-03-01,UBER,14553368
143,2023-04-01,LYFT,5146490
144,2023-04-01,UBER,13998413
145,2023-05-01,LYFT,5569848
146,2023-05-01,UBER,14277828
147,2023-06-01,LYFT,5554626
148,2023-06-01,UBER,13811993
149,2023-07-01,LYFT,5400270
150,2023-07-01,UBER,13731861
151,2023-08-01,LYFT,5178981
152,2023-08-01,UBER,13143169
153,2023-09-01,LYFT,5539517
154,2023-09-01,UBER,14311606
155,2023-10-01,LYFT,5810728
156,2023-10-01,UBER,14375602
157,2023-11-01,LYFT,5480477
158,2023-11-01,UBER,13788773
159,2023-12-01,LYFT,6242671
160,2023-12-01,UBER,14273626
161,2024-01-01,LYFT,5231175
162,2024-01-01,UBER,14432755
163,2024-02-01,LYFT,4949843
164,2024-02-01,UBER,14409305
165,2024-03-01,LYFT,5658790
166,2024-03-01,UBER,15621998
167,2024-04-01,LYFT,5028841
168,2024-04-01,UBER,14704197
169,2024-05-01,LYFT,5166271
170,2024-05-01,UBER,15538267
171,2024-06-01,LYFT,4965194
172,2024-06-01,UBER,15158032
173,2024-07-01,LYFT,4854170
174,2024-07-01,UBER,14328764
