,month,operator,trip_count
0,2012-09-01,green,3
1,2014-01-01,green,803860
2,2014-02-01,green,1005242
3,2014-03-01,green,1293471
4,2014-04-01,green,1309155
5,2014-05-01,green,1421503
6,2014-06-01,green,1337759
7,2014-07-01,green,1273973
8,2014-08-01,green,1344941
9,2014-09-01,green,1361893
10,2014-10-01,green,1491266
11,2014-11-01,green,1548159
12,2014-12-01,green,1645787
13,2015-01-01,green,1508493
14,2015-02-01,green,1574830
15,2015-03-01,green,1722574
16,2015-04-01,green,1664394
17,2015-05-01,green,1786848
18,2015-06-01,green,1638868
19,2015-07-01,green,1541671
20,2015-08-01,green,1532343
21,2015-09-01,green,1494927
22,2015-10-01,green,1630536
23,2015-11-01,green,1529984
24,2015-12-01,green,1608297
25,2016-01-01,green,1445292
26,2016-02-01,green,1510722
27,2016-03-01,green,1576393
28,2016-04-01,green,1543926
29,2016-05-01,green,1536979
30,2016-06-01,green,1404727
31,2016-07-01,green,1332510
32,2016-08-01,green,1247675
33,2016-09-01,green,1162373
34,2016-10-01,green,1252572
35,2016-11-01,green,1148214
36,2016-12-01,green,1224158
37,2017-01-01,green,1069565
38,2017-02-01,green,1022313
39,2017-03-01,green,1157827
40,2017-04-01,green,1080844
41,2017-05-01,green,1059463
42,2017-06-01,green,976467
43,2017-07-01,green,914783
44,2017-08-01,green,867357
45,2017-09-01,green,882381
46,2017-10-01,green,925722
47,2017-11-01,green,874217
48,2017-12-01,green,905967
49,2018-01-01,green,792726
50,2018-02-01,green,769069
51,2018-03-01,green,836063
52,2018-04-01,green,799419
53,2018-05-01,green,796601
54,2018-06-01,green,738524
55,2018-07-01,green,684361
56,2018-08-01,green,675763
57,2018-09-01,green,681950
58,2018-10-01,green,731860
59,2018-11-01,green,673308
60,2018-12-01,green,719670
61,2019-01-01,green,672076
62,2019-02-01,green,615588
63,2019-03-01,green,643031
64,2019-04-01,green,567852
65,2019-05-01,green,545464
66,2019-06-01,green,506223
67,2019-07-01,green,470712
68,2019-08-01,green,449693
69,2019-09-01,green,449015
70,2019-10-01,green,476385
71,2019-11-01,green,449506
72,2019-12-01,green,455269
73,2020-01-01,green,447757
74,2020-02-01,green,398647
75,2020-03-01,green,223493
76,2020-04-01,green,35642
77,2020-05-01,green,57361
78,2020-06-01,green,63111
79,2020-07-01,green,72255
80,2020-08-01,green,81064
81,2020-09-01,green,87981
82,2020-10-01,green,95115
83,2020-11-01,green,88611
84,2020-12-01,green,83129
85,2021-01-01,green,76516
86,2021-02-01,green,64570
87,2021-03-01,green,83831
88,2021-04-01,green,86931
89,2021-05-01,green,88183
90,2021-06-01,green,86747
91,2021-07-01,green,83675
92,2021-08-01,green,83491
93,2021-09-01,green,95707
94,2021-10-01,green,110891
95,2021-11-01,green,108228
96,2021-12-01,green,99959
97,2022-01-01,green,62511
98,2022-02-01,green,69399
99,2022-03-01,green,78519
100,2022-04-01,green,76119
101,2022-05-01,green,76908
102,2022-06-01,green,73709
103,2022-07-01,green,64204
104,2022-08-01,green,65926
105,2022-09-01,green,69025
106,2022-10-01,green,69325
107,2022-11-01,green,62309
108,2022-12-01,green,72440
109,2023-01-01,green,68231
110,2023-02-01,green,64792
111,2023-03-01,green,72039
112,2023-04-01,green,65391
113,2023-05-01,green,69178
114,2023-06-01,green,65548
115,2023-07-01,green,61346
116,2023-08-01,green,60675
117,2023-09-01,green,65439
118,2023-10-01,green,66188
119,2023-11-01,green,64015
120,2023-12-01,green,64213
121,2024-01-01,green,56555
122,2024-02-01,green,53578
123,2024-03-01,green,57451
124,2024-04-01,green,56473
125,2024-05-01,green,61007
126,2024-06-01,green,54738
127,2024-07-01,green,51820
128,2024-08-01,green,51806
129,2024-09-01,green,54422
130,2024-10-01,green,56153
131,2024-11-01,green,52214
132,2024-12-01,green,53987
133,2025-01-01,green,48299
134,2025-02-01,green,46645
135,2025-03-01,green,51550
136,2025-04-01,green,52134
137,2025-05-01,green,55405
138,2025-06-01,green,49385
139,2025-07-01,green,48202
140,2025-08-01,green,46305
141,2025-09-01,green,48885
142,2025-10-01,green,49417
143,2025-11-01,green,46915
144,2025-12-01,green,48227
145,2026-01-01,green,40272
