,month,operator,trip_count
0,2012-01-01,yellow,13058348
1,2012-02-01,yellow,13361346
2,2012-03-01,yellow,16146923
3,2012-04-01,yellow,13427802
4,2012-05-01,yellow,13965253
5,2012-06-01,yellow,15096468
6,2012-07-01,yellow,14379307
7,2012-08-01,yellow,14381752
8,2012-09-01,yellow,14546854
9,2012-10-01,yellow,14522315
10,2012-11-01,yellow,13776030
11,2012-12-01,yellow,14696610
12,2013-01-01,yellow,14776617
13,2013-02-01,yellow,13990176
14,2013-03-01,yellow,15749228
15,2013-04-01,yellow,14652628
16,2013-05-01,yellow,15285052
17,2013-06-01,yellow,14385456
18,2013-07-01,yellow,13823840
19,2013-08-01,yellow,11681525
20,2013-09-01,yellow,14107693
21,2013-10-01,yellow,15004556
22,2013-11-01,yellow,14388451
23,2013-12-01,yellow,13971118
24,2014-01-01,yellow,13782517
25,2014-02-01,yellow,13063794
26,2014-03-01,yellow,15428134
27,2014-04-01,yellow,14618759
28,2014-05-01,yellow,14774048
29,2014-06-01,yellow,13813079
30,2014-07-01,yellow,13104273
31,2014-08-01,yellow,12698743
32,2014-09-01,yellow,13424350
33,2014-10-01,yellow,14317774
34,2014-11-01,yellow,13309992
35,2014-12-01,yellow,13112117
36,2015-01-01,yellow,12741035
37,2015-02-01,yellow,12442394
38,2015-03-01,yellow,13342951
39,2015-04-01,yellow,13063758
40,2015-05-01,yellow,13157677
41,2015-06-01,yellow,12324936
42,2015-07-01,yellow,11559666
43,2015-08-01,yellow,11123123
44,2015-09-01,yellow,11218122
45,2015-10-01,yellow,12307333
46,2015-11-01,yellow,11305241
47,2015-12-01,yellow,11452996
48,2016-01-01,yellow,10905067
49,2016-02-01,yellow,11375412
50,2016-03-01,yellow,12203824
51,2016-04-01,yellow,11927996
52,2016-05-01,yellow,11832049
53,2016-06-01,yellow,11131645
54,2016-07-01,yellow,10294080
55,2016-08-01,yellow,9942263
56,2016-09-01,yellow,10116018
57,2016-10-01,yellow,10854626
58,2016-11-01,yellow,10102128
59,2016-12-01,yellow,10446697
60,2017-01-01,yellow,9710822
61,2017-02-01,yellow,9169775
62,2017-03-01,yellow,10295441
63,2017-04-01,yellow,10047135
64,2017-05-01,yellow,10102127
65,2017-06-01,yellow,9656993
66,2017-07-01,yellow,8588486
67,2017-08-01,yellow,8422197
68,2017-09-01,yellow,8945537
69,2017-10-01,yellow,9768597
70,2017-11-01,yellow,9284777
71,2017-12-01,yellow,9508499
72,2018-01-01,yellow,8760933
73,2018-02-01,yellow,8493204
74,2018-03-01,yellow,9430363
75,2018-04-01,yellow,9305996
76,2018-05-01,yellow,9224820
77,2018-06-01,yellow,8714545
78,2018-07-01,yellow,7850980
79,2018-08-01,yellow,7854947
80,2018-09-01,yellow,8048894
81,2018-10-01,yellow,8834553
82,2018-11-01,yellow,8156034
83,2018-12-01,yellow,8195255
84,2019-01-01,yellow,7696473
85,2019-02-01,yellow,7049209
86,2019-03-01,yellow,7866420
87,2019-04-01,yellow,7475969
88,2019-05-01,yellow,7598549
89,2019-06-01,yellow,6971350
90,2019-07-01,yellow,6310376
91,2019-08-01,yellow,6073089
92,2019-09-01,yellow,6567633
93,2019-10-01,yellow,7214110
94,2019-11-01,yellow,6877817
95,2019-12-01,yellow,6896314
96,2020-01-01,yellow,6405286
97,2020-02-01,yellow,6299580
98,2020-03-01,yellow,3007389
99,2020-04-01,yellow,238002
100,2020-05-01,yellow,348447
101,2020-06-01,yellow,549831
102,2020-07-01,yellow,800437
103,2020-08-01,yellow,1007286
104,2020-09-01,yellow,1340897
105,2020-10-01,yellow,1681267
106,2020-11-01,yellow,1508915
107,2020-12-01,yellow,1461929
108,2021-01-01,yellow,1369764
109,2021-02-01,yellow,1371696
110,2021-03-01,yellow,1925130
111,2021-04-01,yellow,2171218
112,2021-05-01,yellow,2507077
113,2021-06-01,yellow,2834205
114,2021-07-01,yellow,2822113
115,2021-08-01,yellow,2788300
116,2021-09-01,yellow,2963779
117,2021-10-01,yellow,3463485
118,2021-11-01,yellow,3472897
119,2021-12-01,yellow,3214319
120,2022-01-01,yellow,2463936
121,2022-02-01,yellow,2979429
122,2022-03-01,yellow,3627891
123,2022-04-01,yellow,3599902
124,2022-05-01,yellow,3588292
125,2022-06-01,yellow,3557692
126,2022-07-01,yellow,3174363
127,2022-08-01,yellow,3152694
128,2022-09-01,yellow,3183784
129,2022-10-01,yellow,3675384
130,2022-11-01,yellow,3252670
131,2022-12-01,yellow,3399585
132,2023-01-01,yellow,3066731
133,2023-02-01,yellow,2914003
134,2023-03-01,yellow,3403660
135,2023-04-01,yellow,3288249
136,2023-05-01,yellow,3513664
137,2023-06-01,yellow,3307259
138,2023-07-01,yellow,2907093
139,2023-08-01,yellow,2824201
140,2023-09-01,yellow,2846741
141,2023-10-01,yellow,3522269
142,2023-11-01,yellow,3339731
143,2023-12-01,yellow,3376537
144,2024-01-01,yellow,2964623
145,2024-02-01,yellow,3007533
146,2024-03-01,yellow,3582611
147,2024-04-01,yellow,3514295
148,2024-05-01,yellow,3723843
149,2024-06-01,yellow,3539170
150,2024-07-01,yellow,3076876
151,2024-08-01,yellow,2979192
152,2024-09-01,yellow,3633025
153,2024-10-01,yellow,3833780
154,2024-11-01,yellow,3646372
155,2024-12-01,yellow,3668371
156,2025-01-01,yellow,3475236
157,2025-02-01,yellow,3577543
158,2025-03-01,yellow,4145231
159,2025-04-01,yellow,3970568
160,2025-05-01,yellow,4591844
161,2025-06-01,yellow,4322949
162,2025-07-01,yellow,3898971
163,2025-08-01,yellow,3574080
164,2025-09-01,yellow,4251019
165,2025-10-01,yellow,4428708
166,2025-11-01,yellow,4181432
167,2025-12-01,yellow,4305003
168,2026-01-01,yellow,3724894
169,2026-02-01,yellow,2
